Network,CountryName,CountryCode,CityName,Latitude,Longitude,ISP,Organization
1.0.0.0/8,Australia,AU,Sydney,-33.8688,151.2093,Telstra,Telecommunications
2.0.0.0/8,France,FR,Paris,48.8566,2.3522,Orange,Telecommunications
3.0.0.0/8,United States,US,New York,40.7128,-74.0060,Verizon,Telecommunications
4.0.0.0/8,United States,US,Los Angeles,34.0522,-118.2437,AT&T,Telecommunications
5.0.0.0/8,United Kingdom,GB,London,51.5074,-0.1278,BT,Telecommunications
6.0.0.0/8,United States,US,Chicago,41.8781,-87.6298,Comcast,Telecommunications
7.0.0.0/8,United States,US,Houston,29.7604,-95.3698,AT&T,Telecommunications
8.0.0.0/8,United States,US,Phoenix,33.4484,-112.0740,Cox Communications,Telecommunications
9.0.0.0/8,United States,US,Philadelphia,39.9526,-75.1652,Comcast,Telecommunications
10.0.0.0/8,United States,US,San Antonio,29.4241,-98.4936,AT&T,Telecommunications
11.0.0.0/8,United States,US,San Diego,32.7157,-117.1611,Cox Communications,Telecommunications
12.0.0.0/8,United States,US,Dallas,32.7767,-96.7970,AT&T,Telecommunications
13.0.0.0/8,United States,US,San Jose,37.3382,-121.8863,Comcast,Telecommunications
14.0.0.0/8,United States,US,Austin,30.2672,-97.7431,AT&T,Telecommunications
15.0.0.0/8,United States,US,Jacksonville,30.3322,-81.6557,Comcast,Telecommunications
16.0.0.0/8,United States,US,Fort Worth,32.7555,-97.3308,AT&T,Telecommunications
17.0.0.0/8,United States,US,Columbus,39.9612,-82.9988,AT&T,Telecommunications
18.0.0.0/8,United States,US,Charlotte,35.2271,-80.8431,AT&T,Telecommunications
19.0.0.0/8,United States,US,San Francisco,37.7749,-122.4194,Comcast,Telecommunications
20.0.0.0/8,United States,US,Indianapolis,39.7684,-86.1581,AT&T,Telecommunications
21.0.0.0/8,United States,US,Seattle,47.6062,-122.3321,Comcast,Telecommunications
22.0.0.0/8,United States,US,Denver,39.7392,-104.9903,Comcast,Telecommunications
23.0.0.0/8,United States,US,Washington,38.9072,-77.0369,Comcast,Telecommunications
24.0.0.0/8,United States,US,Boston,42.3601,-71.0589,Comcast,Telecommunications
25.0.0.0/8,United States,US,El Paso,31.7619,-106.4850,AT&T,Telecommunications
26.0.0.0/8,United States,US,Nashville,36.1627,-86.7816,AT&T,Telecommunications
27.0.0.0/8,United States,US,Detroit,42.3314,-83.0458,AT&T,Telecommunications
28.0.0.0/8,United States,US,Oklahoma City,35.4676,-97.5164,AT&T,Telecommunications
29.0.0.0/8,United States,US,Portland,45.5152,-122.6784,Comcast,Telecommunications
30.0.0.0/8,United States,US,Las Vegas,36.1699,-115.1398,Cox Communications,Telecommunications
31.0.0.0/8,United States,US,Memphis,35.1495,-90.0490,AT&T,Telecommunications
32.0.0.0/8,United States,US,Louisville,38.2527,-85.7585,AT&T,Telecommunications
33.0.0.0/8,United States,US,Baltimore,39.2904,-76.6122,Comcast,Telecommunications
34.0.0.0/8,United States,US,Milwaukee,43.0389,-87.9065,AT&T,Telecommunications
35.0.0.0/8,United States,US,Albuquerque,35.0844,-106.6504,Comcast,Telecommunications
36.0.0.0/8,United States,US,Tucson,32.2226,-110.9747,Cox Communications,Telecommunications
37.0.0.0/8,United States,US,Fresno,36.7378,-119.7871,AT&T,Telecommunications
38.0.0.0/8,United States,US,Sacramento,38.5816,-121.4944,Comcast,Telecommunications
39.0.0.0/8,United States,US,Atlanta,33.7490,-84.3880,Comcast,Telecommunications
40.0.0.0/8,United States,US,Kansas City,39.0997,-94.5786,AT&T,Telecommunications
41.0.0.0/8,United States,US,Long Beach,33.7701,-118.1937,Comcast,Telecommunications
42.0.0.0/8,United States,US,Mesa,33.4152,-111.8315,Cox Communications,Telecommunications
43.0.0.0/8,United States,US,Colorado Springs,38.8339,-104.8214,Comcast,Telecommunications
